Incident Number,Highest Offense Description,Highest Offense Code,Family Violence,Occurred Date Time,Occurred Date,Occurred Time,Report Date Time,Report Date,Report Time,Location Type,Address,Zip Code,Council District,APD Sector,APD District,PRA,Census Tract,Clearance Status,Clearance Date,UCR Category,Category Description,X-coordinate,Y-coordinate,Latitude,Longitude,Location
20208000307,THEFT,600,N,01/18/2020 10:05:00 AM,01/18/2020,1005,01/18/2020 06:12:00 PM,01/18/2020,1812,RESIDENCE / HOME,615 W 33RD ST,78705,9,BA,3,345,,N,01/21/2020,23H,Theft,3114428,3114428,30.3004607,-97.74157258,"(30.3004607, -97.74157258)"
2020221571,DATING DISTURBANCE,2400,N,01/22/2020 09:20:00 PM,01/22/2020,2120,01/22/2020 09:20:00 PM,01/22/2020,2120,RESIDENCE / HOME,3121 SPEEDWAY,78705,9,BA,1,346,,,,,,3116208,3116208,30.29601712,-97.7360503,"(30.29601712, -97.7360503)"
20205003036,BURGLARY OF VEHICLE,601,N,01/21/2020 10:00:00 AM,01/21/2020,1000,01/22/2020 01:14:00 PM,01/22/2020,1314,RESIDENCE / HOME,3411 SPEEDWAY,78705,9,BA,1,346,,N,01/23/2020,23F,Theft,3116782,3116782,30.29905347,-97.73414927,"(30.29905347, -97.73414927)"
20205003279,THEFT OF BICYCLE,609,N,01/22/2020 06:00:00 PM,01/22/2020,1800,01/24/2020 09:31:00 AM,01/24/2020,931,RESIDENCE / HOME,2529 RIO GRANDE ST,78705,9,BA,1,360,,N,01/24/2020,23H,Theft,3113729,3113729,30.29007082,-97.74406687,"(30.29007082, -97.74406687)"
2020220924,THEFT,600,N,01/22/2020 02:23:00 PM,01/22/2020,1423,01/22/2020 03:23:00 PM,01/22/2020,1523,RESIDENCE / HOME,2819 SAN GABRIEL ST,78705,9,BA,3,356,,N,01/23/2020,23H,Theft,3112796,3112796,30.29515814,-97.74688745,"(30.29515814, -97.74688745)"
20208000252,BURGLARY OF VEHICLE,601,N,01/17/2020 07:45:00 AM,01/17/2020,745,01/17/2020 07:56:00 AM,01/17/2020,756,PARKING LOTS / GARAGE,2901 SWISHER ST,78705,9,BA,1,348,,N,01/20/2020,23F,Theft,3119523,3119523,30.28816487,-97.72575573,"(30.28816487, -97.72575573)"
20205018254,THEFT,600,N,05/08/2020 09:00:00 PM,05/08/2020,2100,05/09/2020 04:45:00 PM,05/09/2020,1645,RESIDENCE / HOME,3501 SPEEDWAY,78705,9,BA,1,346,5,N,05/11/2020,23H,Theft,3116856,3116856,30.29960123,-97.73389997,"(30.29960123, -97.73389997)"
20205002481,BURGLARY OF VEHICLE,601,N,01/18/2020 05:00:00 PM,01/18/2020,1700,01/18/2020 06:32:00 PM,01/18/2020,1832,RESIDENCE / HOME,1908 SAN ANTONIO ST,78705,9,BA,1,359,,N,01/20/2020,23F,Theft,3113998,3113998,30.28294508,-97.74340555,"(30.28294508, -97.74340555)"
20208005257,ASSAULT BY CONTACT,902,N,11/01/2020 02:15:00 AM,11/01/2020,215,11/01/2020 02:33:00 PM,11/01/2020,1433,RESIDENCE / HOME,2822 RIO GRANDE ST,78705,9,BA,3,356,6,N,11/03/2020,,,3113631,3113631,30.29503601,-97.74424427,"(30.29503601, -97.74424427)"
20208000264,BURGLARY OF VEHICLE,601,N,01/19/2020 03:00:00 PM,01/19/2020,1500,01/20/2020 05:02:00 PM,01/20/2020,1702,STREETS / HWY / ROAD / ALLEY,1913 DAVID ST,78705,9,BA,2,358,,N,01/21/2020,23F,Theft,3111826,3111826,30.28508784,-97.7502313,"(30.28508784, -97.7502313)"
